Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.75,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.8115476190476191
Logistic Regression,0.71,0.5116279069767442,0.7333333333333333,0.6027397260273972,0.7908333333333333
Decision Tree,0.68,0.47560975609756095,0.65,0.5492957746478874,0.6610119047619047
